abandonment	abandon:r|ment:s:result of
abase	a:p:to/toward|base:r
abased	a:p:to/toward|base:r
abasement	a:p:to/toward|base:r|ment:s:result of
abases	a:p:to/toward|base:r
abasing	a:p:to/toward|base:r
abatement	abate:r|ment:s:result of
abbreviate	a:p:to/toward|brevi:r|ate:s:make/cause
abbreviated	a:p:to/toward|brevi:r|ate:s:make/cause
abbreviates	a:p:to/toward|brevi:r|ate:s:make/cause
abbreviating	a:p:to/toward|brevi:r|ate:s:make/cause
abbreviation	a:p:to/toward|brevi:r|ate:s:make/cause|ion:s:action/state
abbreviations	a:p:to/toward|brevi:r|ate:s:make/cause|ion:s:action/state
abdication	abdicate:r|ion:s:action/state
abdications	abdicate:r|ion:s:action/state
abdominal	abdomen:r|al:s:relating to
abduct	ab:p:away from|duct:r
abducted	ab:p:away from|duct:r
abducting	ab:p:away from|duct:r
abduction	ab:p:away from|duct:r|ion:s:action/state
abductions	ab:p:away from|duct:r|ion:s:action/state
abducts	ab:p:away from|duct:r
aberration	aberrate:r|ion:s:action/state
aberrations	aberrate:r|ion:s:action/state
abettor	abet:r|or:s:one who
abettors	abet:r|or:s:one who
abhorrence	abhor:r|ance:s:state of
abhorrent	abhor:r|ant:s:one who
abilities	able:r|ity:s:state of
ability	able:r|ity:s:state of
abjection	abject:r|ion:s:action/state
abjections	abject:r|ion:s:action/state
abjectly	abject:r|ly:s:in manner of
abjuration	ab:p:away from|jur:r|ion:s:action/state
abjurations	ab:p:away from|jur:r|ion:s:action/state
abjure	ab:p:away from|jur:r
abjured	ab:p:away from|jur:r
abjures	ab:p:away from|jur:r
abjuring	ab:p:away from|jur:r
ablation	ablate:r|ion:s:action/state
ablative	ablate:r|ive:s:tending to
ablatives	ablate:r|ive:s:tending to
ablaze	a:p:to/toward|blaze:r
abler	able:r|er:s:one who/more
ablest	able:r|est:s:most
ably	able:r|y:s:quality of
abnegation	abnegate:r|ion:s:action/state
abnormal	ab:p:away from|norm:r|al:s:relating to
abnormalities	ab:p:away from|norm:r|al:s:relating to|ity:s:state of
abnormality	ab:p:away from|norm:r|al:s:relating to|ity:s:state of
abnormally	ab:p:away from|norm:r|al:s:relating to|ly:s:in manner of
abolition	abolish:r|ion:s:action/state
abolitionist	abolish:r|ion:s:action/state|ist:s:one who
abolitionists	abolish:r|ion:s:action/state|ist:s:one who
abominable	abomin:r|able:s:capable of
abominably	abomin:r|able:s:capable of|y:s:quality of
abominate	abomin:r|ate:s:make/cause
abominated	abomin:r|ate:s:make/cause
abominates	abomin:r|ate:s:make/cause
abominating	abomin:r|ate:s:make/cause
abomination	abomin:r|ate:s:make/cause|ion:s:action/state
abominations	abomin:r|ate:s:make/cause|ion:s:action/state
aboriginal	ab:p:away from|origin:r|al:s:relating to
